lineup,team,opponent,month,dayofmonth,minutes,avg_pm,points,pred
H. Barnes | A. Bogut | S. Curry | D. Green | K. Thompson,GSW,BOS,3,1,15.1,18.2608695652,-15.8940397351,-34.2476031965
H. Barnes | S. Curry | A. Iguodala | S. Livingston | M. Speights,GSW,DAL,3,6,2.9,17.1428571429,33.1034482759,53.9278524723
W. Green | T. Harris | V. Oladipo | E. Payton | N. Vucevic,ORL,ATL,3,25,4.7,26.6666666668,30.6382978723,45.7709894394
O. Asik | A. Davis | T. Evans | E. Gordon | J. Holiday,NOP,SAS,4,15,1.5,-8.17021276596,-64.0,-31.722940814
A. Johnson | J. Johnson | K. Lowry | P. Patterson | G. Vasquez,TOR,CHA,4,15,13.4,130.909090909,0.0,38.2542537423
P. Antic | K. Bazemore | D. Carroll | P. Millsap | D. Schroder,ATL,HOU,3,3,4.2,0.0,-91.4285714286,-47.0216604718
D. Carroll | A. Horford | K. Korver | P. Millsap | J. Teague,ATL,ORL,3,25,18.0,-3.61461858746,-2.66666666667,-40.343567358
H. Barnes | A. Bogut | S. Curry | D. Green | K. Thompson,GSW,LAC,3,8,15.2,26.1224489795,18.9473684211,49.104852615
C. Frye | T. Harris | V. Oladipo | E. Payton | N. Vucevic,ORL,IND,3,10,7.6,-26.9662921348,-18.9473684211,-58.6042089243
A. Baynes | M. Belinelli | B. Diaw | M. Ginobili | P. Mills,SAS,HOU,4,10,2.5,-52.1739130435,-57.6,-73.0804613139
T. Duncan | D. Green | K. Leonard | T. Parker | T. Splitter,SAS,DEN,4,3,6.5,-62.1176470588,88.6153846154,12.3139255395
B. Diaw | T. Duncan | M. Ginobili | K. Leonard | T. Parker,SAS,PHO,4,12,2.7,88.0,-35.5555555556,-16.7610509167
A. Aminu | T. Chandler | M. Ellis | D. Harris | C. Parsons,DAL,OKC,4,1,1.8,33.488372093,26.6666666667,13.2451155991
J. Crawford | G. Davis | S. Hawes | A. Rivers | H. Turkoglu,LAC,DEN,4,13,4.2,24.7422680412,-45.7142857143,-24.9481501034
B. Diaw | T. Duncan | M. Ginobili | D. Green | C. Joseph,SAS,HOU,4,8,4.8,1.00001784631e-10,10.0,10.3442088887
M. Chalmers | L. Deng | G. Dragic | D. Wade | H. Whiteside,MIA,ORL,4,13,1.1,8.57142857139,-130.909090909,-39.3583919319
R. Hibbert | G. Hill | S. Hill | R. Stuckey | D. West,IND,BKN,3,31,11.0,-33.2673267327,-26.1818181818,-66.5609335064
T. Chandler | M. Ellis | R. Jefferson | C. Parsons | R. Rondo,DAL,CLE,3,10,1.4,51.0638297871,-34.2857142857,-4.86483734167
B. Beal | M. Gortat | N. Hilario | P. Pierce | J. Wall,WAS,CHA,3,9,13.8,-8.37808807732,52.1739130435,25.2728449602
T. Duncan | D. Green | K. Leonard | T. Parker | T. Splitter,SAS,SAC,3,4,12.8,22.857142857,33.75,46.0995150133
M. Bonner | T. Duncan | D. Green | K. Leonard | T. Parker,SAS,GSW,4,5,8.9,3.5294117647,16.1797752809,30.6903441707
M. Barnes | B. Griffin | D. Jordan | C. Paul | J. Redick,LAC,LAL,4,7,26.4,26.7418032787,14.5454545455,41.9156833903
M. Barnes | B. Griffin | D. Jordan | C. Paul | J. Redick,LAC,HOU,3,15,24.4,-11.1627906977,3.93442622951,14.4015322459
R. Evans | R. Gay | C. Landry | R. McCallum | B. McLemore,SAC,MEM,3,30,1.3,0.0,110.769230769,10.5605955288
J. Crawford | B. Griffin | D. Jordan | C. Paul | J. Redick,LAC,PHO,4,14,2.2,19.0981432361,0.0,0.341377326749
O. Casspi | D. Cousins | R. McCallum | B. McLemore | J. Thompson,SAC,NOP,4,3,2.0,0.0,24.0,-26.5075150073
M. Barnes | B. Griffin | D. Jordan | C. Paul | J. Redick,LAC,WAS,3,20,28.5,6.27450980396,32.0,38.3431874253
M. Barnes | B. Griffin | D. Jordan | C. Paul | J. Redick,LAC,NOP,3,22,29.3,-0.52326476171,16.3822525597,31.3147742303
